SA2_5DIG16,shortest_time_sec,shortest_time_min
21191,161.59068789084705,3.0
21192,,
21193,366.21509273608956,7.0
21194,149.25694632047623,3.0
21195,202.97100323018583,4.0
21196,238.85165776478888,4.0
21197,550.361927592955,10.0
21198,181.28138056926508,4.0
21199,174.83353369634398,3.0
21200,139.24508807291213,3.0
21201,207.74792153806183,4.0
21202,591.6169989441651,10.0
21203,337.1633295038022,6.0
21204,401.1418469309322,7.0
21205,209.47055290584703,4.0
21207,430.51672339795766,8.0
21208,539.3728269479301,9.0
21209,737.9358973241524,13.0
21210,1152.4455890887984,20.0
21211,2036.4926835641495,34.0
21212,1669.406119287374,28.0
21213,591.6157197778726,10.0
21214,962.1909307875895,17.0
21215,754.579794595382,13.0
21216,263.24086338651296,5.0
21217,197.6626860841424,4.0
21219,344.60174385488324,6.0
21220,412.27359547415,7.0
21221,355.81973495399683,6.0
21223,429.2825789629046,8.0
21224,941.09304964539,16.0
21225,1434.1235605314962,24.0
21226,383.2312334217507,7.0
21227,,
21228,503.40094350748905,9.0
21229,289.35996100470237,5.0
21230,177.50738595220858,3.0
21231,414.1021272092285,7.0
21232,1120.2507710280372,19.0
21233,1309.026395039858,22.0
21234,1229.8523536737234,21.0
21235,1902.5679158658982,32.0
21236,287.11057354662506,5.0
21237,370.20552526354055,7.0
21239,232.08199437723636,4.0
21240,358.6686591783835,6.0
21241,339.6261622881197,6.0
21242,178.45472366734523,3.0
21243,403.75552316566393,7.0
21245,326.62157085295956,6.0
21246,580.2520746121644,10.0
21247,429.5801710783323,8.0
21248,798.1361581920903,14.0
21249,410.3504050899437,7.0
21250,436.1000311575012,8.0
21251,301.46487606731324,6.0
